ROWID,Country,State lgd code,State,District lgd code,District,YearCode,Year,Social group type,Land area size,Category of holdings,Net area sown,Area under current fallows,Net area cultivated,Uncultivated area 
1,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,11.197,0.294,11.491,0.409
2,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,21.75,0,21.75,0
3,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,10.25,0,10.25,0
4,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,25.7,0,25.7,0
5,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,26.05,49.3,75.35,0
6,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,30,0,30,0
7,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,4.25,0,4.25,0
8,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,18.65,0,18.65,0
9,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,19.3,0,19.3,0
10,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,23.55,0,23.55,0
11,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,11857.82,142.887,12000.707,106.093
12,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,54.65,0,54.65,0
13,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,7568.614,76.587,7645.201,78.499
14,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,1801.675,3.347,1805.022,15.228
15,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0
16,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,945.259,0.66,945.919,1.831
17,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,123.169,4.7,127.869,0.981
18,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,39.85,0,39.85,0
19,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,17.95,0,17.95,0
20,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,19697.26,191.193,19888.453,138.097
21,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0
22,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0
23,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,0,0,0,0
24,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0
25,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0
26,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0
27,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0
28,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0
29,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0
30,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,0,0
31,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,1180.437,4.539,1184.976,1.974
32,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0
33,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,326.005,0,326.005,3.045
34,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,79.359,0,79.359,0.541
35,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0
36,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,13.8,0,13.8,0
37,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,9.2,0,9.2,0
38,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,5.45,0,5.45,0
39,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0
40,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,1805.884,3.955,1809.839,2.361
41,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,11.65,0,11.65,0
42,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,36.2,0,36.2,0
43,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,39,0,39,0
44,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,4.55,0,4.55,0
45,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,37.534,0,37.534,48.266
46,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,3.8,0,3.8,0
47,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,4,0,4,0
48,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,6.35,0,6.35,0
49,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,32.35,0,32.35,0
50,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,25.25,0,25.25,0
51,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,13113.238,331.436,13444.674,153.076
52,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,178.85,0,178.85,0
53,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,8562.044,194.146,8756.19,125.96
54,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,4643.16,116.106,4759.266,31.384
55,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0
56,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,871.035,31.033,902.068,12.132
57,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,593.978,1.236,595.214,11.386
58,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,164.8,0,164.8,0
59,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,58.3,0,58.3,0
60,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,18093.178,302.292,18395.47,132.93
61,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0
62,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0
63,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,0,0,0,0
64,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0
65,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0
66,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0
67,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0
68,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0
69,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0
70,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,0,0
71,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,234.721,1.179,235.9,0
72,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0
73,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,121.65,0,121.65,0
74,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,4.8,0,4.8,0
75,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0
76,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,0,0
77,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0
78,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,0,0
79,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0
80,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,503.745,1.005,504.75,0
81,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,12.75,0,12.75,0
82,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,11.25,0,11.25,0
83,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,18,0,18,0
84,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,5,0,5,0
85,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,88.3,0,88.3,0
86,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,30.65,0,30.65,0
87,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,4.15,0,4.15,0
88,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,0,0,0,0
89,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,9.8,0,9.8,0
