ROWID,Country,State lgd code,State,Yearcode,Year,Custom hiring centers,"Hi-tech, high productive equipment hub",Farm machinery banks
1,India,1,Jammu And Kashmir,2014,"Financial Year (Apr - Mar), 2014",0,,
2,India,1,Jammu And Kashmir,2015,"Financial Year (Apr - Mar), 2015",,,
3,India,1,Jammu And Kashmir,2016,"Financial Year (Apr - Mar), 2016",0,0,
4,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",4,0,
5,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",15,0,2
6,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",111,0,105
7,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",18,,18
8,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",30,,30
9,India,2,Himachal Pradesh,2014,"Financial Year (Apr - Mar), 2014",3,,
10,India,2,Himachal Pradesh,2015,"Financial Year (Apr - Mar), 2015",1,,
11,India,2,Himachal Pradesh,2016,"Financial Year (Apr - Mar), 2016",2,0,
12,India,2,Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",3,0,
13,India,2,Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",5,0,
14,India,2,Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",0,0,25
15,India,2,Himachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",,,14
16,India,2,Himachal Pradesh,2021,"Financial Year (Apr - Mar), 2021",,,
17,India,3,Punjab,2014,"Financial Year (Apr - Mar), 2014",33,1,
18,India,3,Punjab,2015,"Financial Year (Apr - Mar), 2015",,,
19,India,3,Punjab,2016,"Financial Year (Apr - Mar), 2016",215,4,790
20,India,3,Punjab,2017,"Financial Year (Apr - Mar), 2017",35,8,120
21,India,3,Punjab,2018,"Financial Year (Apr - Mar), 2018",0,0,
22,India,3,Punjab,2019,"Financial Year (Apr - Mar), 2019",0,0,0
23,India,3,Punjab,2020,"Financial Year (Apr - Mar), 2020",,,
24,India,3,Punjab,2021,"Financial Year (Apr - Mar), 2021",,,
25,India,4,Chandigarh,2014,"Financial Year (Apr - Mar), 2014",126,,
26,India,4,Chandigarh,2015,"Financial Year (Apr - Mar), 2015",,,
27,India,4,Chandigarh,2016,"Financial Year (Apr - Mar), 2016",40,2,229
28,India,4,Chandigarh,2017,"Financial Year (Apr - Mar), 2017",0,0,
29,India,4,Chandigarh,2018,"Financial Year (Apr - Mar), 2018",0,0,
30,India,4,Chandigarh,2019,"Financial Year (Apr - Mar), 2019",0,0,0
31,India,4,Chandigarh,2020,"Financial Year (Apr - Mar), 2020",,,
32,India,4,Chandigarh,2021,"Financial Year (Apr - Mar), 2021",,,
33,India,5,Uttarakhand,2014,"Financial Year (Apr - Mar), 2014",13,,
34,India,5,Uttarakhand,2015,"Financial Year (Apr - Mar), 2015",5,,8
35,India,5,Uttarakhand,2016,"Financial Year (Apr - Mar), 2016",10,0,16
36,India,5,Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",39,0,330
37,India,5,Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",60,0,
38,India,5,Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",95,0,442
39,India,5,Uttarakhand,2020,"Financial Year (Apr - Mar), 2020",44,,310
40,India,5,Uttarakhand,2021,"Financial Year (Apr - Mar), 2021",6,,35
41,India,6,Haryana,2014,"Financial Year (Apr - Mar), 2014",14,1,15
42,India,6,Haryana,2015,"Financial Year (Apr - Mar), 2015",,,
43,India,6,Haryana,2016,"Financial Year (Apr - Mar), 2016",0,0,
44,India,6,Haryana,2017,"Financial Year (Apr - Mar), 2017",0,0,
45,India,6,Haryana,2018,"Financial Year (Apr - Mar), 2018",625,2,125
46,India,6,Haryana,2019,"Financial Year (Apr - Mar), 2019",0,0,225
47,India,6,Haryana,2020,"Financial Year (Apr - Mar), 2020",500,10,210
48,India,6,Haryana,2021,"Financial Year (Apr - Mar), 2021",,,
49,India,7,Delhi,2014,"Financial Year (Apr - Mar), 2014",,,
50,India,7,Delhi,2015,"Financial Year (Apr - Mar), 2015",,,
51,India,7,Delhi,2016,"Financial Year (Apr - Mar), 2016",,,
52,India,7,Delhi,2017,"Financial Year (Apr - Mar), 2017",,,
53,India,7,Delhi,2018,"Financial Year (Apr - Mar), 2018",,,
54,India,7,Delhi,2019,"Financial Year (Apr - Mar), 2019",,,
55,India,7,Delhi,2020,"Financial Year (Apr - Mar), 2020",,,
56,India,7,Delhi,2021,"Financial Year (Apr - Mar), 2021",,,
57,India,8,Rajasthan,2014,"Financial Year (Apr - Mar), 2014",45,10,10
58,India,8,Rajasthan,2015,"Financial Year (Apr - Mar), 2015",,,
59,India,8,Rajasthan,2016,"Financial Year (Apr - Mar), 2016",0,0,
60,India,8,Rajasthan,2017,"Financial Year (Apr - Mar), 2017",230,1,8
61,India,8,Rajasthan,2018,"Financial Year (Apr - Mar), 2018",0,0,
62,India,8,Rajasthan,2019,"Financial Year (Apr - Mar), 2019",0,0,0
63,India,8,Rajasthan,2020,"Financial Year (Apr - Mar), 2020",375,,52
64,India,8,Rajasthan,2021,"Financial Year (Apr - Mar), 2021",,,93
65,India,9,Uttar Pradesh,2014,"Financial Year (Apr - Mar), 2014",135,,225
66,India,9,Uttar Pradesh,2015,"Financial Year (Apr - Mar), 2015",50,,125
67,India,9,Uttar Pradesh,2016,"Financial Year (Apr - Mar), 2016",75,0,631
68,India,9,Uttar Pradesh,2017,"Financial Year (Apr - Mar), 2017",80,0,281
69,India,9,Uttar Pradesh,2018,"Financial Year (Apr - Mar), 2018",307,0,130
70,India,9,Uttar Pradesh,2019,"Financial Year (Apr - Mar), 2019",810,0,0
71,India,9,Uttar Pradesh,2020,"Financial Year (Apr - Mar), 2020",1060,,872
72,India,9,Uttar Pradesh,2021,"Financial Year (Apr - Mar), 2021",290,,290
73,India,10,Bihar,2014,"Financial Year (Apr - Mar), 2014",126,,
74,India,10,Bihar,2015,"Financial Year (Apr - Mar), 2015",,,
75,India,10,Bihar,2016,"Financial Year (Apr - Mar), 2016",40,2,229
76,India,10,Bihar,2017,"Financial Year (Apr - Mar), 2017",0,0,
77,India,10,Bihar,2018,"Financial Year (Apr - Mar), 2018",0,0,
78,India,10,Bihar,2019,"Financial Year (Apr - Mar), 2019",0,0,0
79,India,10,Bihar,2020,"Financial Year (Apr - Mar), 2020",,,
80,India,10,Bihar,2021,"Financial Year (Apr - Mar), 2021",,,
81,India,11,Sikkim,2014,"Financial Year (Apr - Mar), 2014",0,,1
82,India,11,Sikkim,2015,"Financial Year (Apr - Mar), 2015",,,
83,India,11,Sikkim,2016,"Financial Year (Apr - Mar), 2016",0,0,6
84,India,11,Sikkim,2017,"Financial Year (Apr - Mar), 2017",0,0,3
85,India,11,Sikkim,2018,"Financial Year (Apr - Mar), 2018",0,0,
86,India,11,Sikkim,2019,"Financial Year (Apr - Mar), 2019",0,0,10
87,India,11,Sikkim,2020,"Financial Year (Apr - Mar), 2020",,,10
88,India,11,Sikkim,2021,"Financial Year (Apr - Mar), 2021",,,10
89,India,12,Arunachal Pradesh,2014,"Financial Year (Apr - Mar), 2014",0,,
90,India,12,Arunachal Pradesh,2015,"Financial Year (Apr - Mar), 2015",,,
91,India,12,Arunachal Pradesh,2016,"Financial Year (Apr - Mar), 2016",0,0,
92,India,12,Arunachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",6,0,
93,India,12,Arunachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",1,0,
94,India,12,Arunachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",0,0,0
95,India,12,Arunachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",,,6
96,India,12,Arunachal Pradesh,2021,"Financial Year (Apr - Mar), 2021",,,
97,India,13,Nagaland,2014,"Financial Year (Apr - Mar), 2014",7,,6
98,India,13,Nagaland,2015,"Financial Year (Apr - Mar), 2015",1,,3
99,India,13,Nagaland,2016,"Financial Year (Apr - Mar), 2016",5,0,7
100,India,13,Nagaland,2017,"Financial Year (Apr - Mar), 2017",10,0,20
101,India,13,Nagaland,2018,"Financial Year (Apr - Mar), 2018",0,0,42
102,India,13,Nagaland,2019,"Financial Year (Apr - Mar), 2019",0,0,40
103,India,13,Nagaland,2020,"Financial Year (Apr - Mar), 2020",,,97
104,India,13,Nagaland,2021,"Financial Year (Apr - Mar), 2021",,,25
105,India,14,Manipur,2014,"Financial Year (Apr - Mar), 2014",7,,3
106,India,14,Manipur,2015,"Financial Year (Apr - Mar), 2015",,,
107,India,14,Manipur,2016,"Financial Year (Apr - Mar), 2016",0,0,
108,India,14,Manipur,2017,"Financial Year (Apr - Mar), 2017",0,0,5
109,India,14,Manipur,2018,"Financial Year (Apr - Mar), 2018",65,0,250
110,India,14,Manipur,2019,"Financial Year (Apr - Mar), 2019",20,0,77
111,India,14,Manipur,2020,"Financial Year (Apr - Mar), 2020",,,84
112,India,14,Manipur,2021,"Financial Year (Apr - Mar), 2021",,,18
113,India,15,Mizoram,2014,"Financial Year (Apr - Mar), 2014",0,,4
114,India,15,Mizoram,2015,"Financial Year (Apr - Mar), 2015",,,10
115,India,15,Mizoram,2016,"Financial Year (Apr - Mar), 2016",0,0,10
116,India,15,Mizoram,2017,"Financial Year (Apr - Mar), 2017",0,0,30
117,India,15,Mizoram,2018,"Financial Year (Apr - Mar), 2018",0,0,27
118,India,15,Mizoram,2019,"Financial Year (Apr - Mar), 2019",0,0,85
119,India,15,Mizoram,2020,"Financial Year (Apr - Mar), 2020",,,64
120,India,15,Mizoram,2021,"Financial Year (Apr - Mar), 2021",,,25
121,India,16,Tripura,2014,"Financial Year (Apr - Mar), 2014",0,,4
122,India,16,Tripura,2015,"Financial Year (Apr - Mar), 2015",,,4
123,India,16,Tripura,2016,"Financial Year (Apr - Mar), 2016",0,0,
124,India,16,Tripura,2017,"Financial Year (Apr - Mar), 2017",0,0,83
125,India,16,Tripura,2018,"Financial Year (Apr - Mar), 2018",0,0,100
126,India,16,Tripura,2019,"Financial Year (Apr - Mar), 2019",0,0,100
127,India,16,Tripura,2020,"Financial Year (Apr - Mar), 2020",,,75
128,India,16,Tripura,2021,"Financial Year (Apr - Mar), 2021",,,65
129,India,17,Meghalaya,2014,"Financial Year (Apr - Mar), 2014",0,,
130,India,17,Meghalaya,2015,"Financial Year (Apr - Mar), 2015",,,
131,India,17,Meghalaya,2016,"Financial Year (Apr - Mar), 2016",0,0,
132,India,17,Meghalaya,2017,"Financial Year (Apr - Mar), 2017",0,0,
133,India,17,Meghalaya,2018,"Financial Year (Apr - Mar), 2018",0,0,
134,India,17,Meghalaya,2019,"Financial Year (Apr - Mar), 2019",0,0,0
135,India,17,Meghalaya,2020,"Financial Year (Apr - Mar), 2020",,,3
136,India,17,Meghalaya,2021,"Financial Year (Apr - Mar), 2021",,,
137,India,18,Assam,2014,"Financial Year (Apr - Mar), 2014",8,0,78
138,India,18,Assam,2015,"Financial Year (Apr - Mar), 2015",,,
139,India,18,Assam,2016,"Financial Year (Apr - Mar), 2016",0,0,12
140,India,18,Assam,2017,"Financial Year (Apr - Mar), 2017",0,0,50
141,India,18,Assam,2018,"Financial Year (Apr - Mar), 2018",0,0,
142,India,18,Assam,2019,"Financial Year (Apr - Mar), 2019",0,0,0
143,India,18,Assam,2020,"Financial Year (Apr - Mar), 2020",,,
144,India,18,Assam,2021,"Financial Year (Apr - Mar), 2021",,,125
145,India,19,West Bengal,2014,"Financial Year (Apr - Mar), 2014",10,,18
146,India,19,West Bengal,2015,"Financial Year (Apr - Mar), 2015",60,,
147,India,19,West Bengal,2016,"Financial Year (Apr - Mar), 2016",0,1,6
148,India,19,West Bengal,2017,"Financial Year (Apr - Mar), 2017",105,3,10
149,India,19,West Bengal,2018,"Financial Year (Apr - Mar), 2018",75,4,
150,India,19,West Bengal,2019,"Financial Year (Apr - Mar), 2019",58,0,0
151,India,19,West Bengal,2020,"Financial Year (Apr - Mar), 2020",47,2,
152,India,19,West Bengal,2021,"Financial Year (Apr - Mar), 2021",25,,
153,India,20,Jharkhand,2014,"Financial Year (Apr - Mar), 2014",0,,53
154,India,20,Jharkhand,2015,"Financial Year (Apr - Mar), 2015",,,45
155,India,20,Jharkhand,2016,"Financial Year (Apr - Mar), 2016",0,0,50
156,India,20,Jharkhand,2017,"Financial Year (Apr - Mar), 2017",0,0,34
157,India,20,Jharkhand,2018,"Financial Year (Apr - Mar), 2018",0,0,100
158,India,20,Jharkhand,2019,"Financial Year (Apr - Mar), 2019",0,0,0
159,India,20,Jharkhand,2020,"Financial Year (Apr - Mar), 2020",,,
160,India,20,Jharkhand,2021,"Financial Year (Apr - Mar), 2021",,,
161,India,21,Odisha,2014,"Financial Year (Apr - Mar), 2014",31,,
162,India,21,Odisha,2015,"Financial Year (Apr - Mar), 2015",0,,
163,India,21,Odisha,2016,"Financial Year (Apr - Mar), 2016",720,0,
164,India,21,Odisha,2017,"Financial Year (Apr - Mar), 2017",372,0,28
165,India,21,Odisha,2018,"Financial Year (Apr - Mar), 2018",450,0,
166,India,21,Odisha,2019,"Financial Year (Apr - Mar), 2019",10,0,0
167,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",,2,
168,India,21,Odisha,2021,"Financial Year (Apr - Mar), 2021",20,5,100
169,India,22,Chhattisgarh,2014,"Financial Year (Apr - Mar), 2014",25,,
170,India,22,Chhattisgarh,2015,"Financial Year (Apr - Mar), 2015",,,
171,India,22,Chhattisgarh,2016,"Financial Year (Apr - Mar), 2016",71,0,16
172,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",137,0,
173,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",490,0,33
174,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",265,0,0
175,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",292,,102
176,India,22,Chhattisgarh,2021,"Financial Year (Apr - Mar), 2021",220,,10
177,India,23,Madhya Pradesh,2014,"Financial Year (Apr - Mar), 2014",18,,
